"normalized intensity (arb)(energy (eV)), created by Plot Digitizer, 2.6.4"
"Date: 8/4/15, 11:52:02 AM"


68
energy (eV),normalized intensity (arb)
7036.25,0.00502344,
7037.16,0.00540020,
7038.24,0.00615372,
7039.29,0.00690723,
7040.48,0.00833892,
7041.79,0.00992130,
7042.76,0.0111269,
7043.76,0.0126340,
7044.59,0.0139903,
7046.06,0.0162508,
7047.22,0.0179086,
7050.18,0.0247656,
7051.45,0.0278550,
7053.01,0.0313212,
7053.54,0.0332803,
7054.41,0.0375754,
7054.92,0.0437542,
7055.24,0.0503851,
7055.70,0.0602562,
7055.98,0.0677160,
7056.22,0.0754019,
7056.45,0.0839920,
7056.69,0.0947673,
7056.85,0.102755,
7057.06,0.112400,
7057.25,0.119558,
7057.49,0.127997,
7057.76,0.135985,
7057.93,0.139828,
7057.98,0.141787,
7058.02,0.142540,
7058.36,0.142691,
7058.50,0.140355,
7058.66,0.136135,
7058.78,0.131614,
7058.94,0.124380,
7059.00,0.122045,
7059.19,0.113756,
7059.25,0.111345,
7059.37,0.105618,
7059.46,0.100343,
7059.56,0.0957468,
7059.68,0.0901708,
7059.95,0.0787174,
7060.15,0.0708054,
7060.36,0.0635717,
7060.58,0.0558858,
7060.79,0.0491042,
7061.16,0.0393838,
7061.56,0.0306430,
7062.05,0.0235599,
7062.43,0.0200184,
7062.79,0.0174565,
7063.41,0.0139149,
7064.35,0.0102981,
7064.86,0.00871567,
7065.14,0.00811286,
7065.63,0.00690723,
7066.26,0.00607837,
7066.91,0.00547555,
7067.65,0.00479739,
7068.29,0.00434528,
7069.28,0.00389317,
7070.09,0.00329035,
7071.10,0.00291360,
7072.27,0.00268754,
7073.04,0.00238614,
7073.82,0.00223543,
